tweet_id,favorites,retweets,user_followers,user_favourites,date_time
768193404517830656,10201,3269,9285538,146719,2016-08-23 21:09:14+00:00
767884188863397888,4469,1266,9285538,146719,2016-08-23 00:40:31+00:00
767754930266464257,14991,4961,9285538,146719,2016-08-22 16:06:54+00:00
767500508068192258,7057,2151,9285538,146719,2016-08-21 23:15:55+00:00
767191397493538821,11544,3479,9285538,146719,2016-08-21 02:47:37+00:00
767122157629476866,9557,2648,9285538,146719,2016-08-20 22:12:29+00:00
766793450729734144,4751,1260,9285538,146719,2016-08-20 00:26:19+00:00
766714921925144576,2465,348,9285538,146719,2016-08-19 19:14:16+00:00
766693177336135680,3798,730,9285538,146719,2016-08-19 17:47:52+00:00
766423258543644672,5643,1459,9285538,146719,2016-08-18 23:55:18+00:00
766313316352462849,6346,1734,9285538,146719,2016-08-18 16:38:26+00:00
766078092750233600,0,2424,9285538,146719,2016-08-18 01:03:45+00:00
766069199026450432,3948,775,9285538,146719,2016-08-18 00:28:24+00:00
766008592277377025,3538,461,9285538,146719,2016-08-17 20:27:34+00:00
765719909049503744,6808,1995,9285538,146719,2016-08-17 01:20:27+00:00
765669560888528897,4858,1132,9285538,146719,2016-08-16 22:00:23+00:00
765395769549590528,25134,3118,9285538,146719,2016-08-16 03:52:26+00:00
765371061932261376,6682,2005,9285538,146719,2016-08-16 02:14:15+00:00
765222098633691136,10932,3118,9285538,146719,2016-08-15 16:22:20+00:00
764857477905154048,6085,1648,9285538,146719,2016-08-14 16:13:27+00:00
764259802650378240,5644,1393,9285538,146719,2016-08-13 00:38:30+00:00
763956972077010945,733,50,9285538,146719,2016-08-12 04:35:10+00:00
763837565564780549,11774,3818,9285538,146719,2016-08-11 20:40:41+00:00
763183847194451968,5062,1359,9285538,146719,2016-08-10 01:23:03+00:00
763167063695355904,0,2752,9285538,146719,2016-08-10 00:16:21+00:00
763103485927849985,6936,2124,9285538,146719,2016-08-09 20:03:43+00:00
762699858130116608,11372,3313,9285538,146719,2016-08-08 17:19:51+00:00
762471784394268675,10523,5920,9285538,146719,2016-08-08 02:13:34+00:00
762464539388485633,9650,3839,9285538,146719,2016-08-08 01:44:46+00:00
762316489655476224,4505,1029,9285538,146719,2016-08-07 15:56:28+00:00
762035686371364864,29835,14312,9285538,146719,2016-08-06 21:20:40+00:00
761976711479193600,5049,1829,9285538,146719,2016-08-06 17:26:19+00:00
761750502866649088,0,3590,9285538,146719,2016-08-06 02:27:27+00:00
761745352076779520,4021,794,9285538,146719,2016-08-06 02:06:59+00:00
761672994376806400,46317,26766,9285538,146719,2016-08-05 21:19:27+00:00
761599872357261312,3885,1102,9285538,146719,2016-08-05 16:28:54+00:00
761371037149827077,0,16666,9285538,146719,2016-08-05 01:19:35+00:00
761334018830917632,4832,1339,9285538,146719,2016-08-04 22:52:29+00:00
761292947749015552,4195,1001,9285538,146719,2016-08-04 20:09:17+00:00
761227390836215808,5005,1447,9285538,146719,2016-08-04 15:48:47+00:00
761004547850530816,10656,3215,9285538,146719,2016-08-04 01:03:17+00:00
760893934457552897,3576,890,9285538,146719,2016-08-03 17:43:45+00:00
760656994973933572,6182,1752,9285538,146719,2016-08-03 02:02:14+00:00
760641137271070720,4682,1190,9285538,146719,2016-08-03 00:59:13+00:00
760539183865880579,7082,3346,9285538,146719,2016-08-02 18:14:06+00:00
760521673607086080,3925,1288,9285538,146719,2016-08-02 17:04:31+00:00
760290219849637889,25096,10580,9285538,146719,2016-08-02 01:44:48+00:00
760252756032651264,3709,798,9285538,146719,2016-08-01 23:15:56+00:00
760190180481531904,5354,1653,9285538,146719,2016-08-01 19:07:17+00:00
760153949710192640,0,28,9285538,146719,2016-08-01 16:43:19+00:00
759943073749200896,5531,1934,9285538,146719,2016-08-01 02:45:22+00:00
759846353224826880,6299,1799,9285538,146719,2016-07-31 20:21:02+00:00
759793422261743616,5582,1762,9285538,146719,2016-07-31 16:50:42+00:00
759557299618865152,4404,1105,9285538,146719,2016-07-31 01:12:26+00:00
759447681597108224,7949,2275,9285538,146719,2016-07-30 17:56:51+00:00
759446261539934208,1564,454,9285538,146719,2016-07-30 17:51:13+00:00
759197388317847553,5700,1804,9285538,146719,2016-07-30 01:22:17+00:00
759159934323924993,0,1067,9285538,146719,2016-07-29 22:53:27+00:00
759099523532779520,13633,3826,9285538,146719,2016-07-29 18:53:24+00:00
759047813560868866,6075,1851,9285539,146719,2016-07-29 15:27:55+00:00
758854675097526272,3326,842,9285539,146719,2016-07-29 02:40:28+00:00
758828659922702336,10487,3557,9285539,146719,2016-07-29 00:57:05+00:00
758740312047005698,5381,1499,9285539,146719,2016-07-28 19:06:01+00:00
758474966123810816,3562,914,9285539,146719,2016-07-28 01:31:38+00:00
758467244762497024,4477,2029,9285539,146719,2016-07-28 01:00:57+00:00
758405701903519748,4877,1764,9285539,146719,2016-07-27 20:56:24+00:00
758355060040593408,3158,966,9285539,146719,2016-07-27 17:35:10+00:00
758099635764359168,17743,9161,9285539,146719,2016-07-27 00:40:12+00:00
758041019896193024,2532,339,9285539,146719,2016-07-26 20:47:17+00:00
757741869644341248,6419,3027,9285539,146719,2016-07-26 00:58:34+00:00
757729163776290825,0,7215,9285539,146719,2016-07-26 00:08:05+00:00
757725642876129280,4254,1113,9285539,146719,2016-07-25 23:54:05+00:00
757611664640446465,4291,1009,9285539,146719,2016-07-25 16:21:11+00:00
757597904299253760,0,278,9285539,146719,2016-07-25 15:26:30+00:00
757596066325864448,4073,959,9285539,146719,2016-07-25 15:19:12+00:00
757400162377592832,14150,6326,9285539,146719,2016-07-25 02:20:45+00:00
757393109802180609,5451,1579,9285539,146719,2016-07-25 01:52:43+00:00
757354760399941633,4208,1302,9286005,146723,2016-07-24 23:20:20+00:00
756998049151549440,5871,1835,9285539,146719,2016-07-23 23:42:53+00:00
756939218950160384,6224,1841,9285539,146719,2016-07-23 19:49:07+00:00
756651752796094464,4705,1192,9285539,146719,2016-07-23 00:46:50+00:00
756526248105566208,9719,3305,9285539,146719,2016-07-22 16:28:07+00:00
756303284449767430,3703,1005,9285539,146719,2016-07-22 01:42:09+00:00
756288534030475264,41232,16331,9285539,146719,2016-07-22 00:43:32+00:00
756275833623502848,5987,1406,9285539,146719,2016-07-21 23:53:04+00:00
755955933503782912,6831,2633,9285539,146719,2016-07-21 02:41:54+00:00
755206590534418437,15320,4910,9285539,146719,2016-07-19 01:04:16+00:00
755110668769038337,19768,10197,9285539,146719,2016-07-18 18:43:07+00:00
754874841593970688,0,7250,9285539,146719,2016-07-18 03:06:01+00:00
754856583969079297,6451,2311,9285539,146719,2016-07-18 01:53:28+00:00
754747087846248448,2421,477,9285539,146719,2016-07-17 18:38:22+00:00
754482103782404096,4940,1793,9285539,146719,2016-07-17 01:05:25+00:00
754449512966619136,3509,672,9285539,146719,2016-07-16 22:55:55+00:00
754120377874386944,7394,2163,9285945,146719,2016-07-16 01:08:03+00:00
753655901052166144,5461,1997,9285539,146719,2016-07-14 18:22:23+00:00
753420520834629632,7355,3237,9285539,146719,2016-07-14 02:47:04+00:00
753398408988139520,5358,1732,9285539,146719,2016-07-14 01:19:12+00:00
753375668877008896,7149,2137,9285539,146719,2016-07-13 23:48:51+00:00
753298634498793472,0,5216,9285539,146719,2016-07-13 18:42:44+00:00
753294487569522689,3129,960,9285539,146719,2016-07-13 18:26:16+00:00
753039830821511168,34619,19203,9285539,146719,2016-07-13 01:34:21+00:00
753026973505581056,3659,877,9285539,146719,2016-07-13 00:43:15+00:00
752932432744185856,11766,6301,9285539,146719,2016-07-12 18:27:35+00:00
752917284578922496,6510,1444,9285539,146719,2016-07-12 17:27:23+00:00
752701944171524096,0,2619,9285539,146719,2016-07-12 03:11:42+00:00
752682090207055872,5611,1460,9285539,146719,2016-07-12 01:52:49+00:00
752660715232722944,4081,1424,9285539,146719,2016-07-12 00:27:52+00:00
